workout_id,lesson_id,user_id,leaderboard_position,total_points,state,app_type,app_tracker,studio_id,lesson_name,created_at
4746011,1394,494648,104,1520.4664,COMPLETED,ios,MYZONE-0001023622,CARDIO,Intervals #36,2020-11-07T09:30:16.766Z
4745823,1394,517781,106,1511.8663,COMPLETED,ios,TICKR 1E0F,CARDIO,Intervals #36,2020-11-07T09:30:01.055Z
4745811,1394,202963,107,1508.5063,COMPLETED,ios,TICKR X C46B,CARDIO,Intervals #36,2020-11-07T09:30:01.003Z
4745756,1394,8725,108,1507.856,COMPLETED,ios,TICKR X E41E,CARDIO,Intervals #36,2020-11-07T09:30:00.769Z
4745780,1394,1893,109,1500.3059,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.858Z
4745864,1394,497304,110,1502.6456,COMPLETED,ios,TICKR X 101E,CARDIO,Intervals #36,2020-11-07T09:30:01.396Z
4745917,1394,258951,111,,STARTED,android,TICKR X 7C74,CARDIO,Intervals #36,2020-11-07T09:30:02.818Z
4745872,1394,474206,112,1495.3523,COMPLETED,ios,TICKR X 06E1,CARDIO,Intervals #36,2020-11-07T09:30:01.525Z
4745965,1394,426322,113,1493.6552,COMPLETED,ios,TICKR X 77D1,CARDIO,Intervals #36,2020-11-07T09:30:11.193Z
4745982,1394,32625,113,1494.506,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:11.39Z
4746004,1394,380584,115,1491.2393,COMPLETED,android,Versa 2,CARDIO,Intervals #36,2020-11-07T09:30:13.556Z
4745783,1394,449337,116,1489.6132,COMPLETED,ios,TICKR X EEE0,CARDIO,Intervals #36,2020-11-07T09:30:00.894Z
4745770,1394,34526,117,1488.9392,COMPLETED,ios,TICKR X 1CC1,CARDIO,Intervals #36,2020-11-07T09:30:00.821Z
4745728,1394,93186,118,1482.0823,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.64Z
4746020,1394,17316,119,1479.9746,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:17.317Z
4745927,1394,256236,119,1477.7863,COMPLETED,android,TICKR X 858D,CARDIO,Intervals #36,2020-11-07T09:30:03.179Z
4745989,1394,236693,121,1479.1461,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:11.571Z
4745976,1394,506610,122,1477.7041,COMPLETED,ios,TICKR X 2DE1,CARDIO,Intervals #36,2020-11-07T09:30:11.325Z
4745773,1394,291247,123,1474.2399,COMPLETED,ios,FIIT 8407C4,CARDIO,Intervals #36,2020-11-07T09:30:00.824Z
4745975,1394,396437,124,1481.6111,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:11.312Z
4745781,1394,462914,125,1470.2096,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.861Z
4745896,1394,266639,126,1469.1304,COMPLETED,ios,FIIT D54B9E,CARDIO,Intervals #36,2020-11-07T09:30:01.864Z
4745741,1394,3523,127,1464.3269,COMPLETED,ios,TICKR X 532E,CARDIO,Intervals #36,2020-11-07T09:30:00.708Z
4745801,1394,377594,128,1462.8904,COMPLETED,ios,TICKR X 91BA,CARDIO,Intervals #36,2020-11-07T09:30:00.962Z
4745810,1394,221866,128,1463.1154,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.001Z
